T1,T2,T3,T4,T5,T6,O11,O21,O22,OFV,LOGG,W,PICK
0.00778175511741915,1.45491277168459,2.21464113138115,0.0689120874913569,0.870239451770968,0.897121324338214,0.0880242393728725,0.0372216635820885,0.0193753363234661,592.371290406041,-3.00894139255947,0.00104146920043161,0
0.00819358587495451,1.4777102686111,0.828847400969274,0.138422928903882,0.831835114870671,1.05812875855437,0.0238370961918321,0.00369218097365543,0.023888592850265,611.198266867537,-4.47937800358913,3.69847717728055e-07,0
0.00679186823996804,1.4345739992983,1.72334564814573,0.0699942119425285,0.906923528714911,0.634191004202426,0.0219722400084906,0.020876283906784,0.0216954524294752,618.968943740955,-5.12537277650319,1.44941871582953e-08,0
0.00696101056477515,1.56220869699385,2.06568126321022,0.104977622130391,1.35109744564083,0.969720320086832,0.0399138957295813,0.029854335447161,0.031638860969209,597.375344543244,-5.34120782786757,0.000878861266924312,1
0.00753793161254047,1.46101558024764,1.78011484033285,0.0764444216509431,0.954212312529594,1.03082442459677,0.0543157598027523,0.0302273853732288,0.0386053307551551,593.308837085852,-5.1616248964976,0.00560995429811189,0
0.00730187136964244,1.45858094124912,2.34773549969126,0.0587855255022985,1.24371626271675,0.948409616634332,0.0407749856138079,0.0257083575116684,0.020533891530186,583.909455134095,-0.744060116538253,0.0074384966772328,1
0.0074336056573764,1.49043066911828,1.53071132145724,0.0930910136542661,1.08328420996922,0.91793382242108,0.0349329134674092,0.013511692609814,0.0311922035040942,585.241919881456,-1.77381065606168,0.0106993921854799,1
0.00776270723623535,1.52987362362419,0.552512790762137,0.153078804813717,1.22026610575411,0.881806176848181,0.017678918741287,0.00909446718889619,0.0193262518351235,604.398439350891,-6.94232777152636,0.000130086497487747,0
0.00809358357594446,1.50233105315069,2.23596147825003,0.098781043935935,1.22446713586887,1.13401146884891,0.0852724493195412,0.0447200896779003,0.0235988065916533,603.911357777414,-6.39146777195908,9.56676668255871e-05,0
0.00686998502896789,1.44622179485749,2.99644110324647,0.0437798779801074,1.01088701601476,0.680392042227887,0.0416669120495547,0.0218027747294674,0.0182147392410068,602.293244856293,-2.97206105278975,7.03241463770703e-06,0
