"OutName","Parent","EstMethod","Formula","Minimize","Reason","OFV","SE","Parameter","Theta","FixedTheta","Eta","Eps","OffDiagOmega","nDV","AICc","NextSib","FirstKid","LastKid","LOrder","Depth","Pos"
"130addl","130mult","FOCEI","",TRUE,"SUCCESS",-338.608839466516,TRUE,8,5,0,3,1,"0/3",270,-322.057115328585,"","","",38,1,31
"130mult","","FOCEI","BASE",TRUE,"SUCCESS",-338.608839466516,TRUE,8,5,0,3,1,"0/3",270,-322.057115328585,"130ss","130addl","130addl",37,0,31
"130ss","","FOCEI","",TRUE,"HOWEVER",-147.649438432739,TRUE,8,5,0,3,1,"0/3",180,-130.807333169581,"130ssx","","",39,0,32
"130ssx","","FOCEI","",TRUE,"SUCCESS",-173.557426993581,TRUE,8,5,0,3,1,"0/3",180,-156.715321730423,"140iv2","","",40,0,33
"140iv2","","FOCEI","BASE",TRUE,"SUCCESS",-472.352872720623,TRUE,6,4,0,2,1,"0/1",440,-460.15887733956,"cnt100","200iv2","200iv2",41,0,34
"200iv2","140iv2","FOCEI","BASE",TRUE,"SUCCESS",-1305.92154730546,TRUE,10,6,0,4,1,"0/6",440,-1285.40872679264,"","300iv2","300iv2",42,1,34
"300iv2","200iv2","FOCEI","BASE",TRUE,"SUCCESS",-1308.85950311743,TRUE,14,8,0,6,1,"0/15",440,-1279.87126782332,"","","",43,2,34
"cnt100","","L","BASE",TRUE,"SUCCESS",6808.61410644228,TRUE,4,3,0,1,1,"0/0",1200,6816.64757924563,"oq1","cnt101","cnt101",44,0,35
"cnt101","cnt100","L","BASE",TRUE,"SUCCESS",6196.63301559297,TRUE,5,4,0,1,1,"0/0",1200,6206.68326684925,"","cnt102","cnt102",45,1,35
"cnt102","cnt101","L","BASE",TRUE,"SUCCESS",6210.41333467178,TRUE,3,2,0,1,1,"0/0",1200,6216.43340156141,"","","",46,2,35
"oq1","","FOCEI","BASE",TRUE,"HOWEVER",-1121.02835423947,TRUE,15,4,0,4,1,"7/6",500,-1090.03661870228,"pd100x","","",47,0,36
"pd100","pd100x","FOCEI","BASE",TRUE,"HOWEVER",293.862830961013,TRUE,15,10,0,5,1,"0/10",1920,324.114931801349,"","pd100sim","pd103",49,1,38.5
"pd100sim","pd100",,"BASE",FALSE,"NOESTIMATION",,FALSE,,,,,,"",,,"pd101","","",50,2,37
"pd100x","","FOCEI","BASE",TRUE,"HOWEVER",299.459422284625,TRUE,15,10,0,5,1,"0/10",1920,329.711523124961,"pd200ord","pd100","pd100",48,0,38.5
"pd101","pd100","FOCEI","BASE",TRUE,"SUCCESS",46.4450841514623,TRUE,15,10,0,5,1,"0/10",1560,76.7559649804779,"pd102","pd101b","pd101b",51,2,38
"pd101b","pd101","FOCEI","BASE",TRUE,"HOWEVER",215.455881679732,TRUE,15,10,0,5,1,"0/10",520,246.408262632113,"","","",52,3,38
"pd102","pd100","FOCEI","LB=logit(BSL",TRUE,"SUCCESS",356.511674385985,TRUE,13,9,0,4,1,"0/6",1760,382.72015090374,"pd103","","",53,2,39
"pd103","pd100","FOCEI","BASE",TRUE,"SUCCESS",299.798014500362,TRUE,15,10,0,5,1,"0/10",1920,330.050115340698,"","","",54,2,40
"pd200ord","","L","BASE",TRUE,"SUCCESS",1697.73401895275,TRUE,7,6,0,1,1,"0/0",1440,1711.81223124325,"ped100","","",55,0,41
"ped100","","FOCEI","",TRUE,"HOWEVER",223.794455820621,FALSE,6,4,0,2,1,"0/1",543,235.951172238532,"ped103","ped101","ped102",56,0,42.5
"ped101","ped100","FOCEI","C",TRUE,"SUCCESS",2.46979735787034,TRUE,8,6,0,2,1,"0/1",543,18.7394602792187,"ped102","ped103x","ped103x",57,1,42
"ped102","ped100","FOCEI","",TRUE,"SUCCESS",78.1129365246501,TRUE,7,5,0,2,1,"0/1",543,92.3222823190427,"","","",59,1,43
"ped103","","FOCEI","",TRUE,"SUCCESS",-304.983064950674,TRUE,7,5,0,2,1,"0/1",78,-289.383064950674,"ped104","","",60,0,44
"ped103x","ped101","FOCEI","CL~WT+PMA,V",TRUE,"SUCCESS",17.9607229530904,TRUE,7,5,0,2,1,"0/1",78,33.5607229530904,"","","",58,2,42
"ped104","","FOCEI","",TRUE,"SUCCESS",-19.4381078841199,TRUE,8,6,0,2,1,"0/1",465,-3.12231841043572,"tg100","","",61,0,45
"tg100","","FOCEI","BASE",TRUE,"SUCCESS",2076.54257944086,TRUE,4,3,0,1,1,"0/0",173,2084.78067467896,"tm100","tg101","tg104",62,0,48.5
"tg101","tg100","FOCEI","BASE",TRUE,"SUCCESS",1729.81135595019,TRUE,6,4,0,2,1,"0/1",173,1742.31738004657,"tg102","","",63,1,46
"tg102","tg100","FOCEI","BASE",TRUE,"HOWEVER",1734.65999141774,TRUE,6,4,0,2,1,"0/1",173,1747.16601551413,"tg103","tg102b","tg105",64,1,48.25
"tg102b","tg102","FOCEI","BASE",TRUE,"SUCCESS",1687.22755760649,TRUE,7,4,0,2,1,"1/1",173,1701.90634548527,"tg105","tg102bsim","tg106",65,2,47.5
"tg102bsim","tg102b",,"BASE",FALSE,"NOESTIMATION",,FALSE,,,,,,"",,,"tg106","","",66,3,47
"tg103","tg100","FOCEI","BASE",TRUE,"SUCCESS",1721.60242888922,TRUE,5,4,0,1,1,"0/0",173,1731.96171032634,"tg104","tg103x","tg103x",70,1,50
"tg103x","tg103","FOCEI","BASE",TRUE,"SUCCESS",1701.9592862327,TRUE,7,5,0,2,1,"0/1",173,1716.63807411149,"","","",71,2,50
"tg104","tg100","FOCEI","BASE",TRUE,"HOWEVER",1721.50801433003,TRUE,7,5,0,2,1,"0/1",173,1736.18680220881,"","","",72,1,51
"tg105","tg102","FOCEI","BETA~ALPHA",TRUE,"SUCCESS",1704.47331020438,TRUE,5,4,0,1,1,"0/0",173,1714.8325916415,"","","",69,2,49
"tg106","tg102b","FOCEI","BASE",TRUE,"SUCCESS",3112.89405863415,TRUE,7,4,0,2,1,"1/1",320,3127.25303299312,"","tg107","tg107",67,3,48
"tg107","tg106","FOCEI","ALPHA~GRP",TRUE,"SUCCESS",3008.82306509901,TRUE,8,5,0,2,1,"1/1",320,3025.28608760704,"","","",68,4,48
"tm100","","FO","",TRUE,"HOWEVER",1106.44648386113,TRUE,21,12,0,5,1,"4/10",302,1151.74648386113,"tm103","tm101","tm101",73,0,52
"tm101","tm100","FOCEI","",TRUE,"HOWEVER",1042.21803411093,FALSE,21,12,0,5,1,"4/10",302,1087.51803411093,"","","",74,1,52
"tm102","tm103","FO","",FALSE,"ROUNDING",1166.67372366195,TRUE,19,12,2,5,1,"4/10",302,1207.36875912294,"","","",76,1,53
"tm103","","FO","",TRUE,"HOWEVER",1106.33380444041,TRUE,20,12,1,5,1,"4/10",302,1149.32312828382,"tm104","tm102","tm102",75,0,53
"tm104","","FO","",FALSE,"ROUNDING",1227.69273570655,FALSE,15,8,0,4,1,"3/6",302,1259.37105738487,"tte100","","",77,0,54
"tte100","","L","BASE",TRUE,"SUCCESS",1297.01578954216,TRUE,2,2,0,1,1,"-1/0",300,1301.05619358257,"wf100","tte101","tte101",78,0,55
"tte101","tte100","L","BASE",TRUE,"SUCCESS",1253.11548125348,TRUE,3,3,0,1,1,"-1/0",300,1259.19656233456,"","tte102","tte102",79,1,55
"tte102","tte101","L","H~CAVG",TRUE,"SUCCESS",1245.41019296293,TRUE,3,3,0,1,1,"-1/0",300,1251.49127404401,"","","",80,2,55
"wf100","","FOCEI","BASE",TRUE,"SUCCESS",246.263812314567,TRUE,7,4,0,3,1,"0/3",360,260.581994132748,"wf200","wf201","wf201",81,0,56
"wf200","","FOCEI","",TRUE,"SUCCESS",1787.84567075819,TRUE,7,4,0,3,1,"0/3",360,1802.16385257637,"wf202","","",84,0,57
"wf201","wf100","FOCEI","BASE",TRUE,"SUCCESS",2034.60430264918,TRUE,14,8,0,6,1,"0/15",720,2063.20004733003,"","wf201sim","wf201sim",82,1,56
"wf201sim","wf201",,"BASE",FALSE,"NOESTIMATION",,FALSE,,,,,,"",,,"","","",83,2,56
"wf202","","FOCEI","",TRUE,"HOWEVER",2336.94747634573,TRUE,14,8,0,6,1,"0/15",720,2365.54322102658,"wf203","","",85,0,58
"wf203","","FOCEI","",TRUE,"SUCCESS",2185.59945846019,TRUE,15,9,0,6,1,"0/15",720,2216.28127664201,"","","",86,0,59
